Sum of total_action_taken,Column Labels,,,,,,,,,,,,,,
Row Labels,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,(blank),Grand Total
E09000001,563,1492,433,347,587,1944,2579,1566,2255,3091,2485,3212,2842,,23396
E09000002,2687,2122,1399,3100,2672,1130,1066,440,157,88,171,96,103,,15231
E09000003,2356,1828,890,219,615,130,503,1016,1869,12,20,10,39,,9507
E09000004,505,627,732,399,262,439,327,205,102,0,407,712,1957,,6674
E09000005,6713,2232,3189,3926,3980,5660,7348,6236,4876,3529,8022,7192,7713,,70616
E09000006,306,479,653,462,326,228,258,287,211,187,304,258,168,,4127
E09000007,5541,5962,8281,4837,4719,4656,12671,26861,40457,29580,33185,32626,35897,,245273
E09000008,31,108,460,712,1775,637,2684,1994,2660,2280,2078,986,109,,16514
E09000009,6727,5679,6543,5521,6067,12688,5471,4620,6791,6047,10529,8739,5096,,90518
E09000010,7262,3595,3269,4937,5292,10894,5855,6278,6317,7088,5061,11580,13982,,91410
E09000011,6344,7482,13950,17667,6410,2188,1443,933,822,1170,918,1061,2754,,63142
E09000012,2332,1456,10495,8865,9494,5601,11172,1751,1316,937,0,1453,1732,,56604
E09000013,6944,1719,1719,1632,1868,4857,2982,1700,1352,8632,7881,10531,8490,,60307
E09000014,8817,4719,7633,8639,3615,5131,3171,419,576,1821,2412,1593,2601,,51147
E09000015,1053,0,0,995,1354,1385,1622,890,553,397,291,2148,2595,,13283
E09000016,13970,13762,13393,7404,8523,11748,10463,6114,5744,5155,8559,4716,5557,,115108
E09000017,5120,4188,3101,0,620,3031,4393,3453,2695,1560,1082,163,81,,29487
E09000018,1234,1030,994,2190,1865,2242,4334,2862,3431,3372,3671,1290,458,,28973
E09000019,6959,6167,8646,8172,8250,7878,7231,4145,3806,61,2857,3644,4303,,72119
E09000020,4773,5009,6353,6651,6308,9282,10165,6915,6692,8107,7897,7811,8473,,94436
E09000021,0,0,0,0,0,0,3,21,482,914,1682,2439,1008,,6549
E09000022,598,0,0,0,0,0,959,1963,1823,1720,4807,4454,3840,,20164
E09000023,789,1083,1499,2627,2611,1454,1330,1308,1269,1375,2631,2846,3749,,24571
E09000024,1279,1299,1305,6985,2542,6056,6299,8862,4737,8089,14864,6603,5942,,74862
E09000025,9593,7283,10354,8620,10621,5155,3615,2070,1724,1608,3583,5794,7117,,77137
E09000026,6114,6913,4778,6306,4319,2489,6469,1783,7560,10685,7768,7435,10442,,83061
E09000027,2610,2291,2647,207,2133,3337,2615,2870,1208,1026,1173,1216,1736,,25069
E09000028,0,1194,3776,1889,1476,1937,2255,2936,2654,278,2633,3006,2818,,26852
E09000029,1255,201,755,545,146,278,450,995,985,470,1105,1952,780,,9917
E09000030,3251,4909,18057,17064,17494,14601,13316,12403,6553,1739,7954,17891,24205,,159437
E09000031,17182,17049,17176,17361,12290,18459,17036,12943,14355,10707,10039,5285,9753,,179635
E09000032,8226,5166,6674,4977,8547,9582,9735,8836,14617,19452,18119,17737,9844,,141512
E09000033,8367,6636,6166,6380,3447,3876,7111,5855,5734,797,11094,20348,18159,,103970
(blank),,,,,,,,,,,,,,,
Grand Total,149501,123680,165320,159636,140228,158973,166931,141530,156383,141974,185282,196827,204343,,2090608
